DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract
749142.0,70000.0,100.0,64.5,,,,,,,,,273.8,273.8,0.0,70000.0,4812.2,68.75,66.8,,,,,
749142.0,70000.0,100.0,65.9,,,,,,,,,279.8,279.8,0.0,70000.0,4457.6,63.68,68.2,,,,,
749142.0,70000.0,100.0,71.5,,,,,,,,,314.6,314.6,0.0,70000.0,4345.4,62.08,73.7,,,,,
363265.0,350000.0,98.0,27.4,26.1,7.6,,81.8,,,9580691.0,2672290.6,889.1,0.0,889.1,350000.0,21982.2,62.81,86.0,,,,,
363265.0,70000.0,36.0,154.5,170.8,,1.7,179.4,10817395.0,119577.3,,,574.6,574.6,0.0,70000.0,6466.9,92.38,162.3,,,,,
363265.0,70000.0,69.0,130.0,142.9,,1.4,150.0,9098339.9,100002.4,,,483.3,483.3,0.0,70000.0,5053.8,72.2,136.5,,,,,
789880.0,665000.0,99.0,27.9,26.6,7.2,0.0,79.3,1295562.5,13117.8,17238823.1,4794817.7,1668.6,68.8,1599.8,665000.0,33742.7,50.74,83.4,,,,,
789880.0,70000.0,100.0,59.4,64.2,,0.6,67.4,4161294.7,44916.2,,,221.0,221.0,0.0,70000.0,4071.6,58.17,62.4,,,,,
,352868.0,12.0,132.9,131.9,7.4,1.1,191.6,37674685.2,375953.4,9220445.0,2625921.2,2856.7,2001.1,855.7,352868.0,,,194.2,,,,,
789880.0,70000.0,100.0,46.2,49.9,,0.5,52.4,3233502.1,34925.7,,,171.7,171.7,0.0,70000.0,3587.7,51.25,48.5,,,,,
789880.0,70000.0,100.0,1.6,1.8,,0.0,1.9,112927.5,1289.6,,,6.0,6.0,0.0,70000.0,3807.6,54.39,1.7,,,,,
789880.0,35000.0,100.0,68.7,,,,,,,,,135.1,135.1,0.0,35000.0,5169.1,147.69,71.7,,,,,
789880.0,70000.0,100.0,48.8,,,,,3419079.0,,,,181.6,181.6,0.0,70000.0,3242.8,46.33,51.3,,,,,
789880.0,35000.0,100.0,60.3,,,,,,,,,120.8,120.8,0.0,35000.0,1636.0,46.74,62.9,,,,,
789880.0,70000.0,100.0,37.2,,,,,,,,,162.3,162.3,0.0,70000.0,4051.4,57.88,38.4,,,,,
789880.0,70000.0,100.0,39.6,,,,,,,,,190.1,190.1,0.0,70000.0,3700.6,52.87,40.4,,,,,
789880.0,70000.0,100.0,58.1,,,,,,,,,261.9,261.9,0.0,70000.0,3494.9,49.93,59.8,,,,,
394644.0,350000.0,99.0,27.4,26.1,7.0,0.0,77.1,800922.6,8107.3,8790233.0,2438522.1,858.3,42.5,815.7,350000.0,22515.1,64.33,81.3,,,,,
394644.0,70000.0,100.0,56.8,,,,,,,,,258.3,258.3,0.0,70000.0,3947.5,56.39,58.3,,,,,
394644.0,70000.0,100.0,67.8,73.8,,0.7,77.3,4441754.9,48063.3,,,258.7,258.7,0.0,70000.0,4802.5,68.61,71.0,,,,,
394644.0,70000.0,100.0,47.7,,,,,,,,,213.5,213.5,0.0,70000.0,5260.3,75.15,49.1,,,,,
394644.0,70000.0,100.0,44.6,,,,,,,,,191.8,191.8,0.0,70000.0,4275.1,61.07,46.1,,,,,
236984.0,291876.0,68.0,42.4,44.9,12.7,0.0,137.6,468637.5,4727.6,11898121.3,3702505.0,1129.0,24.9,1104.1,291876.0,,,129.7,,,,,
236984.0,145938.0,68.0,41.8,44.2,12.5,0.0,135.8,217605.0,2194.2,5886996.5,1827689.5,557.9,11.6,546.3,145938.0,,,128.2,,,,,
236984.0,145938.0,65.0,42.9,45.6,12.8,0.0,139.5,251032.5,2533.5,6011124.8,1874776.1,571.2,13.3,557.8,145938.0,,,131.1,,,,,
316000.0,316000.0,65.0,85.0,89.1,4.7,0.7,127.2,21684718.8,230836.1,5171985.0,1489364.5,1631.7,1151.8,480.0,316000.0,,,123.4,40.660488,-73.933165,9.0,41.0,880.0
550010.0,608360.0,26.0,113.8,118.4,6.8,0.9,173.0,53876500.4,570461.0,14606591.2,4158216.0,4274.7,2919.2,1355.5,608360.0,,,169.7,40.634756,-74.120309,1.0,49.0,13301.0
550010.0,534260.0,98.0,28.1,27.4,7.8,0.0,84.3,380777.5,4408.1,14606591.2,4158216.0,1375.7,20.2,1355.5,534260.0,,,86.6,40.634756,-74.120309,1.0,49.0,13301.0
550010.0,74100.0,89.0,38.8,38.3,9.0,0.1,104.7,520805.0,5564.2,2352503.3,669750.2,246.0,27.7,218.3,74100.0,,,107.1,40.634756,-74.120309,1.0,49.0,13301.0
550010.0,608360.0,95.0,89.0,94.1,,0.9,98.8,53355695.3,564977.4,,,2891.6,2891.6,0.0,608360.0,,,93.4,40.634756,-74.120309,1.0,49.0,13301.0
184087.0,322505.0,49.0,75.9,81.1,9.1,0.1,148.2,2904463.4,31764.9,9982738.4,2925772.9,1940.3,1013.9,926.4,322505.0,,,142.9,40.890431,-73.905757,8.0,11.0,335.0
175941.0,205264.0,93.0,63.4,66.5,3.0,0.6,91.1,10797599.6,115521.7,2206393.7,613126.6,778.3,573.5,204.8,205264.0,,,89.0,,,,,
200466.0,233877.0,100.0,34.1,34.2,3.2,0.1,57.9,1354000.0,13737.1,2537965.1,743834.9,610.3,374.7,235.5,233877.0,,,57.8,,,,,
,86084.0,19.0,100.1,107.3,5.9,0.9,154.8,6859613.8,75029.9,1761390.4,508688.3,527.8,364.3,163.5,86084.0,,,147.9,,,,,
115226.0,124200.0,39.0,81.0,85.2,5.4,0.7,128.1,7698987.3,82774.9,2358692.8,673642.8,627.8,408.9,218.9,124200.0,6244.6,50.28,124.7,,,,,
149406.0,149406.0,29.0,92.2,97.5,6.5,0.8,148.5,10410703.1,112728.0,3366106.2,966750.1,865.3,553.0,312.4,149406.0,9798.7,65.58,143.9,,,,,
109562.0,109562.0,26.0,94.7,99.7,6.3,0.8,149.7,7970789.4,85642.1,2399413.9,691109.4,646.0,423.4,222.7,109562.0,,,145.2,,,,,
167032.0,176032.0,36.0,87.4,87.0,5.9,0.7,133.5,11773070.6,117730.7,3619106.1,1039144.6,961.2,625.3,335.9,176032.0,,,134.8,,,,,
103032.0,103032.0,58.0,83.9,89.7,4.7,0.7,128.0,6978669.2,75694.8,1668893.4,489124.6,525.5,370.7,154.9,103032.0,7275.5,70.61,122.0,,,,,
161012.0,151492.0,17.0,116.9,125.7,6.0,1.1,174.7,14620522.3,159479.2,3094710.0,907007.5,1063.8,776.6,287.2,151492.0,8674.7,57.26,165.5,,,,,
159428.0,156144.0,14.0,117.5,125.2,6.2,1.0,175.7,14911764.4,162475.8,3427881.8,968997.7,1110.1,792.0,318.1,156144.0,,,169.2,,,,,
152286.0,146484.0,17.0,113.3,121.2,6.3,1.0,171.9,13358662.2,146203.7,3237312.4,917509.1,1010.0,709.5,300.4,146484.0,1163027.2,7939.62,165.1,,,,,
,255704.0,15.0,120.3,128.5,5.7,1.1,175.5,25623358.2,278972.3,5145814.7,1453607.8,1838.5,1361.0,477.5,255704.0,12211.8,47.76,168.4,,,,,
,183912.0,16.0,117.4,127.6,5.9,1.1,176.2,17801886.6,197550.8,3787638.3,1088595.4,1297.0,945.5,351.5,183912.0,11235.4,61.09,166.3,,,,,
159090.0,159090.0,49.0,74.5,78.1,6.3,0.6,127.0,8327980.1,90027.9,3516812.7,1003615.5,768.7,442.3,326.4,159090.0,5592.4,35.15,124.4,40.744747,-73.997163,4.0,3.0,91.0
159090.0,69545.0,53.0,73.9,73.3,7.3,0.5,128.7,3855920.1,38559.2,2023701.1,577813.9,392.6,204.8,187.8,79545.0,5592.4,70.31,130.8,40.744747,-73.997163,4.0,3.0,91.0
159090.0,79545.0,55.0,75.0,80.1,5.4,0.6,122.3,4472059.9,49195.2,1493111.6,425791.9,376.1,237.5,138.6,79545.0,,,118.0,40.744747,-73.997163,4.0,3.0,91.0
125240.0,64296.0,94.0,29.0,29.0,8.5,0.0,90.9,2412.0,24.1,1861321.1,545521.9,172.9,0.1,172.7,32148.0,27280.0,424.29,90.9,40.623068,-74.149304,1.0,49.0,30301.0
,70124.0,23.0,103.4,111.0,5.9,0.9,158.7,5783570.4,63673.1,1470676.6,414618.3,443.7,307.2,136.5,70124.0,,,152.5,,,,,
,80568.0,16.0,116.7,124.6,6.1,1.0,174.3,7683289.3,83653.7,1718199.8,490817.8,567.5,408.1,159.4,80568.0,,,167.1,,,,,
,95056.0,8.0,117.4,127.2,6.2,1.1,178.0,9054916.5,100695.8,2103971.2,591999.5,676.2,481.0,195.2,95056.0,,,169.5,,,,,
,72016.0,17.0,122.7,131.8,5.0,1.1,173.9,7571401.6,82657.9,1263577.4,359173.4,519.4,402.2,117.3,72016.0,,,165.5,,,,,
115000.0,69000.0,33.0,95.3,95.3,27.9,0.0,298.9,17000.0,179.4,8751588.4,2564943.5,813.0,0.9,812.1,92000.0,1896.1,20.61,298.9,40.793333,-73.946795,11.0,8.0,172.0
,69094.0,99.0,69.9,81.0,3.2,0.0,105.5,129387.9,1293.9,783477.1,224405.4,370.4,297.7,72.7,69094.0,2419.8,35.02,94.9,,,,,
